date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-19 06:27:15,WLDs,Cloud9,MAD Lions,1,under,game_duration 31.5,5.22%,Bet365,win,1.83,0.83
2023-10-19 06:27:15,WLDs,Cloud9,MAD Lions,1,under,total_inhibitors 1.5,25.00%,Bet365,win,2.5,1.5
2023-10-19 06:27:15,WLDs,Cloud9,MAD Lions,1,under,total_barons 1.5,10.00%,Bet365,loss,2.2,-1.0
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,over,total_dragons 3.5,17.75%,Bet365,win,1.57,0.57
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,over,total_towers 11.5,6.87%,Bet365,win,2.25,1.25
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,over,game_duration 28.5,14.38%,Bet365,win,1.83,0.83
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,under,total_inhibitors 1.5,14.38%,Bet365,win,1.83,0.83
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,over,total_barons 1.5,12.50%,Bet365,win,3.75,2.75
2023-10-19 09:25:46,WLDs,G2 Esports,Dplus KIA,1,over,total_towers 11.5,8.68%,Bet365,win,1.61,0.61
2023-10-19 09:25:46,WLDs,G2 Esports,Dplus KIA,1,over,game_duration 30.5,9.80%,Bet365,win,1.83,0.83
2023-10-19 09:25:46,WLDs,G2 Esports,Dplus KIA,1,under,total_inhibitors 1.5,6.25%,Bet365,loss,2.5,-1.0
2023-10-19 07:26:16,WLDs,Gen.G,GAM Esports,1,over,total_dragons 3.5,92.50%,Bet365,loss,2.2,-1.0
2023-10-19 07:26:16,WLDs,Gen.G,GAM Esports,1,over,total_towers 10.5,76.00%,Bet365,loss,2.2,-1.0
2023-10-19 07:26:16,WLDs,Gen.G,GAM Esports,1,over,total_kills 22.5,8.75%,Bet365,win,1.5,0.5
2023-10-19 07:26:16,WLDs,Gen.G,GAM Esports,1,over,game_duration 26.5,60.13%,Bet365,loss,1.83,-1.0
2023-10-19 07:26:16,WLDs,Gen.G,GAM Esports,1,under,total_inhibitors 1.5,14.38%,Bet365,loss,1.83,-1.0
2023-10-19 07:26:16,WLDs,Gen.G,GAM Esports,1,over,total_barons 1.5,102.50%,Bet365,loss,4.5,-1.0
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,over,total_dragons 3.5,80.00%,Bet365,win,2.25,1.25
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,over,total_towers 10.5,74.37%,Bet365,win,2.25,1.25
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,over,game_duration 26.5,46.40%,Bet365,win,1.83,0.83
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,over,total_barons 1.5,40.00%,Bet365,loss,4.0,-1.0
2023-10-19 10:39:50,WLDs,Weibo Gaming,NRG,1,over,total_dragons 3.5,8.68%,Bet365,win,1.61,0.61
2023-10-19 10:39:50,WLDs,Weibo Gaming,NRG,1,over,total_towers 11.5,57.50%,Bet365,loss,2.25,-1.0
2023-10-19 10:39:50,WLDs,Weibo Gaming,NRG,1,over,total_kills 23.5,23.53%,Bet365,loss,1.83,-1.0
2023-10-19 10:39:50,WLDs,Weibo Gaming,NRG,1,over,game_duration 26.5,28.10%,Bet365,win,1.83,0.83
2023-10-19 10:39:50,WLDs,Weibo Gaming,NRG,1,over,total_inhibitors 1.5,18.95%,Bet365,loss,1.83,-1.0
